ts,magnitudes,longitude,latitude,,
2024/2/23 13:58:32.581,2.1,87.412,42.19,,
2024/2/23 12:8:26.252,4.6,78.721,41.226,,
2024/2/23 11:37:45.732,1.9,79.421,40.547,,
2024/2/23 9:16:44.942,3.2,78.631,41.121,,
2024/2/23 8:55:13.188,2,78.574,41.086,,
2024/2/23 8:30:54.185,2.3,83.979,41.174,,
2024/2/23 8:28:44.886,2.3,83.983,41.29,,
2024/2/23 8:10:6.194,2.3,78.641,41.122,,
2024/2/23 7:48:56.574,2,78.532,41.138,,
2024/2/23 7:32:2.869,2.7,78.617,41.066,,
2024/2/23 4:58:57.771,2.2,78.722,41.25,,
2024/2/23 4:7:16.794,2.2,78.568,41.127,,
2024/2/23 2:56:40.228,1.9,78.673,41.271,,
2024/2/23 2:30:43.417,2.1,88.477,42.315,,
2024/2/23 1:0:29.776,1.9,83.351,46.731,,
2024/2/22 23:52:5.235,2.2,84.097,40.925,,
2024/2/22 23:46:13.783,2,83.655,41.575,,
2024/2/22 23:3:12.733,1.9,78.605,41.061,,
2024/2/22 22:48:56.584,2.5,83.895,41.119,,
2024/2/22 22:33:57.568,1.9,78.922,41.369,,
2024/2/22 19:8:34.185,3.7,78.813,41.31,,
2024/2/22 17:5:17.799,2.2,78.465,41.236,,
2024/2/22 16:39:59.614,3.5,78.8,41.315,,
2024/2/22 15:59:11.951,3.4,78.534,41.218,,
2024/2/22 13:32:47.817,2.4,79.493,36.108,,
2024/2/22 12:12:53.596,2,83.763,41.215,,
2024/2/22 11:3:35.591,2.2,87.589,41.57,,
2024/2/22 9:58:30.898,2.8,78.726,41.304,,
2024/2/22 7:57:49.482,2.7,76.683,36.037,,
2024/2/22 4:10:24.492,2.5,78.497,41.006,,
2024/2/22 2:26:41.464,4.4,78.749,41.238,,
2024/2/22 1:20:10.798,2.3,89.327,38.986,,
2024/2/22 0:37:52.564,2.4,84.866,45.439,,
2024/2/21 23:0:40.627,2.2,78.343,41.103,,
2024/2/21 22:39:14.61,1.9,94.458,42.911,,
2024/2/21 21:35:9.202,2.7,83.954,41.214,,
2024/2/21 20:26:20.957,2.3,83.765,41.392,,
2024/2/21 18:50:13.876,2.1,89.201,44.26,,
2024/2/21 18:22:42.173,2.3,77.916,36.01,,
2024/2/21 15:3:48.607,4.1,77.682,40.446,,
